set_name,set_code,set_release_date,set_total_cards,pack_name,card_name,card_number,card_rarity,card_type
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Bulbasaur,1,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Ivysaur,3,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Venusaur ex,5,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Exeggcute,11,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charmander,55,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Charizard ex,59,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Growlithe,61,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Moltres ex,67,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Staryu,93,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Starmie ex,95,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pikachu,128,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pikachu ex,131,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magnemite,133,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Zapdos ex,139,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Jynx,156,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Mewtwo ex,158,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Gardevoir,168,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Machop,189,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Machoke,191,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Machamp ex,193,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Cubone,194,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Farfetch’d,280,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Old Amber,312,Common,Fossil
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Erika,328,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Giovanni,334,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Snivy,32,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Serperior,36,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Magikarp,96,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Gyarados ex,98,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Marshadow,224,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pidgey,272,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pidgeotto,274,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pidgeot ex,276,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Old Amber,312,Common,Fossil
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Leaf,346,Uncommon,Supporter
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Yanmega ex,22,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Shaymin,30,Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Chimchar,71,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Monferno,73,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Palkia ex,107,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Manaphy,108,Uncommon,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Pachirisu ex,145,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Mismagius ex,163,Double Rare,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Ralts,164,Common,Pokémon
Deluxe Pack: ex,a4b,"September 30, 2025",412,Deluxe Pack: ex,Kirlia,166,Common,Pokémon
